"","Year","NO2","O3","SO2","CO"
"1","2000",17.433767511228,0.0243741645680117,3.63500075241691,0.555604706402898
"2","2001",17.6019482851427,0.0253865279811336,3.12090110474902,0.506644215511171
"3","2002",16.385855472344,0.0268191216993436,2.72986602917406,0.498662025357593
"4","2003",15.8649338442788,0.0255270375008681,2.85191218735387,0.490559058577745
"5","2004",14.9752013254223,0.024900771116304,2.8413287821552,0.446284841487756
"6","2005",15.0109229855358,0.0257420666080122,2.90074261691595,0.41565780866913
"7","2006",14.5315078315929,0.0259374754410496,2.5961098280328,0.413374512787711
"8","2007",13.285442796729,0.0263789037944842,2.34150018574598,0.373294876302241
"9","2008",12.240445505023,0.0260927645986165,1.89467227534316,0.328973876017365
"10","2009",11.4691216860859,0.0252594672618191,1.54923206450684,0.32235972412767
"11","2010",11.3692399857466,0.026693435816302,1.29163103297908,0.326146282365953
"12","2011",11.2035692976758,0.0267662711686061,1.21774899827463,0.309953497725303
"13","2012",10.5757906936025,0.0272931662324696,0.954872504110572,0.299363452326724
"14","2013",10.4712015352069,0.0265614852425395,0.85120419876501,0.276361686140174
"15","2014",10.0206805438676,0.0263094700620873,0.862706660974702,0.274731216507459
"16","2015",9.45064762387352,0.0265008214047725,0.741409492701656,0.280451006647839
"17","2016",10.0806032726386,0.0264386326613559,0.672875242033816,0.286927123475858
